bitcount,bitcount,222840442
dijkstra,bitcount,215424133
fft,bitcount,440673204
hash,bitcount,117427254
heap,bitcount,1278411213
jpegd,bitcount,54519158
mm,bitcount,470679519
patricia,bitcount,702936914
qsort,bitcount,333457078
sha,bitcount,118390293
bitcount,dijkstra,222840682
dijkstra,dijkstra,175731749
fft,dijkstra,692446362
hash,dijkstra,117079291
heap,dijkstra,909676091
jpegd,dijkstra,63843050
mm,dijkstra,470678485
patricia,dijkstra,690024917
qsort,dijkstra,246239714
sha,dijkstra,181125010
bitcount,fft,222851178
dijkstra,fft,175803019
fft,fft,414303369
hash,fft,408030702
heap,fft,1421809599
jpegd,fft,48353416
mm,fft,112847406
patricia,fft,693592602
qsort,fft,207218330
sha,fft,123465153
bitcount,hash,371424972
dijkstra,hash,543955899
fft,hash,887343123
hash,hash,91679275
heap,hash,1101754760
jpegd,hash,105675768
mm,hash,369819648
patricia,hash,1356735152
qsort,hash,300387866
sha,hash,211222565
bitcount,heap,371424972
dijkstra,heap,543955899
fft,heap,887343123
hash,heap,91681801
heap,heap,520334051
jpegd,heap,105675768
mm,heap,218824704
patricia,heap,1356735152
qsort,heap,302146361
sha,heap,211222565
bitcount,jpegd,222840801
dijkstra,jpegd,175857526
fft,jpegd,431830216
hash,jpegd,92272996
heap,jpegd,1110266831
jpegd,jpegd,47256072
mm,jpegd,369819648
patricia,jpegd,695777529
qsort,jpegd,316564808
sha,jpegd,115993839
bitcount,mm,1136665865
dijkstra,mm,1143213111
fft,mm,2966555113
hash,mm,432935632
heap,mm,2986950242
jpegd,mm,227762965
mm,mm,102383629
patricia,mm,4822352531
qsort,mm,793048169
sha,mm,671487607
bitcount,patricia,222840682
dijkstra,patricia,175731841
fft,patricia,435430574
hash,patricia,117080100
heap,patricia,915642569
jpegd,patricia,50316865
mm,patricia,470678837
patricia,patricia,689836651
qsort,patricia,245849611
sha,patricia,118373619
bitcount,qsort,222864774
dijkstra,qsort,175816183
fft,qsort,415665123
hash,qsort,2736476678
heap,qsort,7077987761
jpegd,qsort,48524696
mm,qsort,182380936
patricia,qsort,695979858
qsort,qsort,203178435
sha,qsort,118773597
bitcount,sha,222841283
dijkstra,sha,210611493
fft,sha,431706259
hash,sha,92272996
heap,sha,1110266831
jpegd,sha,51807719
mm,sha,369819648
patricia,sha,700801888
qsort,sha,316564808
sha,sha,115991015
