bitcount,bitcount,74300884
dijkstra,bitcount,69572635
fft,bitcount,235560630
hash,bitcount,369002803
heap,bitcount,3357441555
jpegd,bitcount,28316195
mm,bitcount,1479278291
patricia,bitcount,298300267
qsort,bitcount,727308151
sha,bitcount,55454095
bitcount,dijkstra,74303694
dijkstra,dijkstra,66980093
fft,dijkstra,237493029
hash,dijkstra,393531503
heap,dijkstra,2633093311
jpegd,dijkstra,36269028
mm,dijkstra,1580135458
patricia,dijkstra,276606052
qsort,dijkstra,572140356
sha,dijkstra,60012359
bitcount,fft,74340784
dijkstra,fft,234400039
fft,fft,203609064
hash,fft,820825608
heap,fft,4746205108
jpegd,fft,50538677
mm,fft,2068558874
patricia,fft,304572887
qsort,fft,605086039
sha,fft,109931630
bitcount,hash,1337149167
dijkstra,hash,2100552721
fft,hash,3308169571
hash,hash,357328504
heap,hash,1708127326
jpegd,hash,396665242
mm,hash,1222168152
patricia,hash,5009348041
qsort,hash,1135265741
sha,hash,772260026
bitcount,heap,1235098285
dijkstra,heap,2112997689
fft,heap,3083837867
hash,heap,366226625
heap,heap,1048895983
jpegd,heap,284303278
mm,heap,50202368
patricia,heap,4768016985
qsort,heap,988811039
sha,heap,777799130
bitcount,jpegd,74309744
dijkstra,jpegd,102820694
fft,jpegd,248536439
hash,jpegd,369002803
heap,jpegd,3475718041
jpegd,jpegd,24137544
mm,jpegd,1479278592
patricia,jpegd,304536101
qsort,jpegd,811152103
sha,jpegd,54076575
bitcount,mm,1218113651
dijkstra,mm,2080056119
fft,mm,3058904354
hash,mm,366226582
heap,mm,1125421333
jpegd,mm,268894569
mm,mm,50188544
patricia,mm,4571265690
qsort,mm,986127990
sha,mm,743271536
bitcount,patricia,74310133
dijkstra,patricia,190888399
fft,patricia,235048396
hash,patricia,385159379
heap,patricia,2584516499
jpegd,patricia,50992210
mm,patricia,1546518206
patricia,patricia,264972670
qsort,patricia,560070918
sha,patricia,79685568
bitcount,qsort,74427351
dijkstra,qsort,104839607
fft,qsort,871964623
hash,qsort,19483683862
heap,qsort,104346445997
jpegd,qsort,44436343
mm,qsort,38352367461
patricia,qsort,1254266324
qsort,qsort,424661496
sha,qsort,58033675
bitcount,sha,74349437
dijkstra,sha,270678251
fft,sha,286170556
hash,sha,360703094
heap,sha,4228249998
jpegd,sha,55538451
mm,sha,1445658624
patricia,sha,731575025
qsort,sha,1186787953
sha,sha,52996476
